N,iterations,execution_time
1000,100,0.091554
1000,200,0.151907
1000,300,0.235237
1000,500,0.403615
1000,1000,0.869878
1000,2000,1.643846
1000,5000,4.077746
2000,100,0.076708
2000,200,0.156974
2000,300,0.256239
2000,500,0.393373
2000,1000,0.802242
2000,2000,1.564105
2000,5000,4.029191
5000,100,0.081429
5000,200,0.154060
5000,300,0.236126
5000,500,0.396715
5000,1000,0.805601
5000,2000,1.584558
5000,5000,4.047466
10000,100,0.080202
10000,200,0.156787
10000,300,0.237027
10000,500,0.433936
10000,1000,0.799297
10000,2000,1.631373
10000,5000,4.080662
20000,100,0.082007
20000,200,0.158364
20000,300,0.261827
20000,500,0.406019
20000,1000,0.827857
20000,2000,1.641011
20000,5000,4.210514
50000,100,0.097240
50000,200,0.191080
50000,300,0.298347
50000,500,0.519849
50000,1000,1.028635
50000,2000,1.980889
50000,5000,5.112194
100000,100,0.106639
100000,200,0.231355
100000,300,0.319887
100000,500,0.681927
100000,1000,1.241556
100000,2000,2.245463
100000,5000,5.605389
200000,100,0.131125
200000,200,0.266493
200000,300,0.391873
200000,500,0.661290
200000,1000,1.300424
200000,2000,2.779661
200000,5000,6.478747
500000,100,0.174709
500000,200,0.346149
500000,300,0.541473
500000,500,0.886053
500000,1000,1.739961
500000,2000,3.537999
500000,5000,8.787345
